Column,Role,Group,dtype,N missing,% missing,Mean,Std,Min,Q25,Median,Q75,Max,N unique
unit_Cardiac ICU,Feature — baseline only,Unit type dummy,int64,0,0.0,0.0738,0.2615,0.0,0.0,0.0,0.0,1.0,2
unit_MICU,Feature — baseline only,Unit type dummy,int64,0,0.0,0.1692,0.3749,0.0,0.0,0.0,0.0,1.0,2
unit_Med-Surg ICU,Feature — baseline only,Unit type dummy,int64,0,0.0,0.5837,0.493,0.0,0.0,1.0,1.0,1.0,2
unit_Neuro ICU,Feature — baseline only,Unit type dummy,int64,0,0.0,0.0265,0.1606,0.0,0.0,0.0,0.0,1.0,2
unit_SICU,Feature — baseline only,Unit type dummy,int64,0,0.0,0.0471,0.2118,0.0,0.0,0.0,0.0,1.0,2
dx_Sepsis_cutaneous_soft_tissue,Feature — baseline only,Dx dummy,int64,0,0.0,0.0815,0.2737,0.0,0.0,0.0,0.0,1.0,2
dx_Sepsis_gynecologic,Feature — baseline only,Dx dummy,int64,0,0.0,0.003,0.0551,0.0,0.0,0.0,0.0,1.0,2
dx_Sepsis_other,Feature — baseline only,Dx dummy,int64,0,0.0,0.0647,0.246,0.0,0.0,0.0,0.0,1.0,2
dx_Sepsis_pulmonary,Feature — baseline only,Dx dummy,int64,0,0.0,0.3855,0.4867,0.0,0.0,0.0,1.0,1.0,2
dx_Sepsis_renal_UTI_including_bladder,Feature — baseline only,Dx dummy,int64,0,0.0,0.2238,0.4168,0.0,0.0,0.0,0.0,1.0,2
dx_Sepsis_unknown,Feature — baseline only,Dx dummy,int64,0,0.0,0.112,0.3153,0.0,0.0,0.0,0.0,1.0,2
heartrate_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.0004,0.0189,0.0,0.0,0.0,0.0,1.0,2
meanbp_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.0008,0.0284,0.0,0.0,0.0,0.0,1.0,2
respiratoryrate_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.0029,0.0534,0.0,0.0,0.0,0.0,1.0,2
temperature_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.0283,0.1658,0.0,0.0,0.0,0.0,1.0,2
fio2_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.6853,0.4644,0.0,0.0,1.0,1.0,1.0,2
pao2_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.6853,0.4644,0.0,0.0,1.0,1.0,1.0,2
pf_ratio_miss,Feature — GP terminal,_miss indicator,int64,0,0.0,0.6853,0.4644,0.0,0.0,1.0,1.0,1.0,2
wbc_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.1446,0.3517,0.0,0.0,0.0,0.0,1.0,2
creatinine_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.1099,0.3128,0.0,0.0,0.0,0.0,1.0,2
bilirubin_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.4455,0.497,0.0,0.0,0.0,1.0,1.0,2
bun_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.1106,0.3137,0.0,0.0,0.0,0.0,1.0,2
glucose_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.05,0.218,0.0,0.0,0.0,0.0,1.0,2
sodium_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.1045,0.306,0.0,0.0,0.0,0.0,1.0,2
ph_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.6853,0.4644,0.0,0.0,1.0,1.0,1.0,2
hematocrit_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.1326,0.3392,0.0,0.0,0.0,0.0,1.0,2
albumin_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.3959,0.4891,0.0,0.0,0.0,1.0,1.0,2
gcs_total_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.0094,0.0965,0.0,0.0,0.0,0.0,1.0,2
eyes_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.0094,0.0965,0.0,0.0,0.0,0.0,1.0,2
motor_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.0094,0.0965,0.0,0.0,0.0,0.0,1.0,2
verbal_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.0094,0.0965,0.0,0.0,0.0,0.0,1.0,2
potassium_max_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.0916,0.2884,0.0,0.0,0.0,0.0,1.0,2
platelets_min_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.1189,0.3237,0.0,0.0,0.0,0.0,1.0,2
lactate_max_miss,Feature — GP terminal,_miss indicator,int64,0,0.0,0.4003,0.49,0.0,0.0,0.0,1.0,1.0,2
map_min_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.0141,0.1181,0.0,0.0,0.0,0.0,1.0,2
map_max_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.0141,0.1181,0.0,0.0,0.0,0.0,1.0,2
map_mean_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.0141,0.1181,0.0,0.0,0.0,0.0,1.0,2
gender_male_miss,Feature — baseline only,_miss indicator,int64,0,0.0,0.0001,0.0095,0.0,0.0,0.0,0.0,1.0,2
tertile,Stratification,—,category,0,0.0,,,,,,,,3
