hospitalid,n_stays,n_deaths,n_valid,mortality_pct
93,56,7.0,56,12.5
264,5237,653.0,5193,12.57
356,66,8.0,63,12.7
217,1265,161.0,1263,12.75
206,1144,146.0,1144,12.76
312,625,83.0,624,13.3
91,15,2.0,15,13.33
397,457,57.0,426,13.38
421,567,76.0,567,13.4
390,1188,162.0,1182,13.71
420,4679,646.0,4664,13.85
252,3371,470.0,3371,13.94
253,464,66.0,464,14.22
386,527,75.0,526,14.26
151,14,2.0,14,14.29
392,715,102.0,707,14.43
208,3650,529.0,3646,14.51
433,144,21.0,144,14.58
360,286,35.0,228,15.35
439,346,55.0,343,16.03
400,1513,243.0,1509,16.1
401,40,7.0,40,17.5
452,874,155.0,874,17.73
437,70,12.0,67,17.91
142,1782,329.0,1769,18.6
350,62,11.0,59,18.64
259,586,116.0,578,20.07
131,131,32.0,131,24.43
273,171,47.0,158,29.75
414,54,23.0,52,44.23
361,13,0.0,0,
