cell,model,train_tertile,test_tertile,a,b,ece_raw,ece_insample,ece_cv,delta_ece_cv,auroc_cv,status
ML,LR_platt,M,L,1.1219,0.1969,0.0332,0.0362,0.0362,0.003,0.7142,ok
ML,RF_platt,M,L,5.4618,2.1376,0.0288,0.0939,0.0939,0.0651,0.7474,ok
ML,APACHE-IV,M,L,0.6702,-0.6258,0.0806,0.0453,0.0453,-0.0353,0.6663,ok
MM,GP (c=24),M,M,1.1275,0.131,0.014,0.013,0.013,-0.001,0.7164,ok
MM,LR,M,M,0.713,-1.5123,0.2539,0.0333,0.0192,-0.2347,0.7278,ok
MM,RF,M,M,1.5634,-0.346,0.1202,0.1354,0.0212,-0.099,0.7555,ok
MM,XGB,M,M,0.528,-0.783,0.1045,0.1674,0.0392,-0.0653,0.7191,ok
MM,LR_platt,M,M,1.1871,0.1805,0.0346,0.0333,0.0333,-0.0013,0.7278,ok
MM,RF_platt,M,M,6.3025,2.4221,0.0161,0.1353,0.1353,0.1192,0.7555,ok
MM,APACHE-IV,M,M,0.6513,-0.632,0.0527,0.0271,0.0271,-0.0256,0.7001,ok
MH,GP (c=24),M,H,1.101,0.1277,0.047,0.0505,0.0505,0.0035,0.7457,ok
MH,LR,M,H,0.8451,-1.6046,0.1982,0.0583,0.0576,-0.1406,0.7471,ok
MH,RF,M,H,1.4178,-0.4801,0.0705,0.1731,0.0509,-0.0196,0.7654,ok
MH,XGB,M,H,0.5176,-0.9839,0.0749,0.2008,0.0489,-0.026,0.7356,ok
MH,LR_platt,M,H,1.1219,0.1969,0.0564,0.0558,0.0558,-0.0006,0.7471,ok
MH,RF_platt,M,H,5.4618,2.1376,0.0464,0.1744,0.1744,0.128,0.7654,ok
MH,APACHE-IV,M,H,0.6702,-0.6258,0.047,0.0461,0.0461,-0.0009,0.7052,ok
HL,GP (c=24),H,L,1.1346,0.5578,0.0402,0.0821,0.0821,0.0419,0.7048,ok
HL,LR,H,L,0.9083,-1.1064,0.2422,0.0637,0.0745,-0.1677,0.7307,ok
HL,RF,H,L,1.344,-0.4463,0.1717,0.0978,0.0634,-0.1083,0.7443,ok
HL,XGB,H,L,0.6102,-0.6515,0.1359,0.1314,0.0931,-0.0428,0.72,ok
HL,LR_platt,H,L,1.1632,0.1588,0.0711,0.0642,0.0642,-0.0069,0.7307,ok
HL,RF_platt,H,L,5.2486,1.7494,0.0673,0.0997,0.0997,0.0324,0.7443,ok
HL,APACHE-IV,H,L,-0.0411,-1.2183,0.0806,0.1339,0.1339,0.0533,0.3337,ok
HM,GP (c=24),H,M,1.1346,0.5578,0.0107,0.0505,0.0505,0.0398,0.7528,ok
HM,LR,H,M,0.9083,-1.1064,0.229,0.0404,0.0503,-0.1787,0.7666,ok
HM,RF,H,M,1.344,-0.4463,0.1459,0.1228,0.039,-0.1069,0.7793,ok
HM,XGB,H,M,0.6102,-0.6515,0.112,0.155,0.0593,-0.0527,0.7543,ok
HM,LR_platt,H,M,1.1632,0.1588,0.0468,0.0412,0.0412,-0.0056,0.7666,ok
HM,RF_platt,H,M,5.2486,1.7494,0.0437,0.1241,0.1241,0.0804,0.7793,ok
HM,APACHE-IV,H,M,-0.0411,-1.2183,0.0473,0.0728,0.0728,0.0255,0.278,ok
HH,GP (c=24),H,H,1.1172,0.5488,0.0466,0.0176,0.0176,-0.029,0.7379,ok
HH,LR,H,H,0.8376,-1.1483,0.2145,0.0369,0.0324,-0.1821,0.7433,ok
HH,RF,H,H,1.3644,-0.4109,0.1167,0.1491,0.0216,-0.0951,0.7617,ok
HH,XGB,H,H,0.5329,-0.6901,0.1283,0.1967,0.0477,-0.0806,0.7064,ok
HH,LR_platt,H,H,1.1918,0.1992,0.0373,0.0428,0.0428,0.0055,0.7433,ok
HH,RF_platt,H,H,4.7199,1.5886,0.0316,0.1491,0.1491,0.1175,0.7617,ok
HH,APACHE-IV,H,H,0.8368,-0.2573,0.0598,0.0533,0.0533,-0.0065,0.7148,ok
